epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,17450.5,1.32152,1.10914,1.47775,0.74449,0.70976,0.76909,0.44928,1.0572,1.38001,1.12089,0.00189475,0.00189475,0.00189475
110,17609.6,1.30664,1.08694,1.4619,0.74867,0.70791,0.76921,0.44988,1.05727,1.37057,1.12084,0.00181557,0.00181557,0.00181557
111,17769,1.30233,1.08916,1.46103,0.74747,0.70895,0.76939,0.45006,1.05712,1.35931,1.12045,0.0017378,0.0017378,0.0017378
112,17927.9,1.3062,1.09504,1.46542,0.74765,0.70895,0.76978,0.45003,1.05724,1.34968,1.12032,0.00166149,0.00166149,0.00166149
113,18087.2,1.29675,1.08045,1.45495,0.74871,0.70921,0.76986,0.45023,1.05706,1.33813,1.11982,0.00158667,0.00158667,0.00158667
114,18246.1,1.29442,1.06612,1.45307,0.74827,0.71034,0.77007,0.45038,1.05717,1.33079,1.11967,0.00151336,0.00151336,0.00151336
115,18405.7,1.29667,1.06737,1.45498,0.74862,0.70851,0.76985,0.45022,1.05742,1.32254,1.11964,0.00144161,0.00144161,0.00144161
116,18564.7,1.28988,1.06557,1.44963,0.74728,0.70912,0.77005,0.45018,1.0572,1.31144,1.11923,0.00137143,0.00137143,0.00137143
117,18723.8,1.27726,1.05763,1.44018,0.75058,0.70624,0.77032,0.45061,1.05747,1.3023,1.11922,0.00130287,0.00130287,0.00130287
118,18882.4,1.27892,1.04843,1.43888,0.74991,0.70699,0.77084,0.45104,1.05744,1.29299,1.119,0.00123596,0.00123596,0.00123596
119,19041.8,1.28107,1.05923,1.44092,0.74956,0.70745,0.77115,0.45119,1.0573,1.28481,1.11873,0.00117072,0.00117072,0.00117072
120,19200.9,1.271,1.03468,1.43229,0.75066,0.70684,0.77136,0.4515,1.05735,1.27447,1.11862,0.00110718,0.00110718,0.00110718
121,19360.4,1.26915,1.03915,1.43629,0.7504,0.70772,0.7717,0.45186,1.05718,1.2671,1.11848,0.00104537,0.00104537,0.00104537
122,19519.4,1.27004,1.02649,1.43227,0.75099,0.70681,0.77168,0.45197,1.05746,1.2583,1.11839,0.000985311,0.000985311,0.000985311
123,19678.7,1.27046,1.03984,1.43338,0.7518,0.70923,0.77277,0.45195,1.05735,1.25032,1.11838,0.00092704,0.00092704,0.00092704
124,19837.6,1.26309,1.01843,1.42303,0.75043,0.71121,0.77289,0.45247,1.05746,1.24369,1.1184,0.000870577,0.000870577,0.000870577
125,19997,1.27051,1.03346,1.42855,0.75354,0.70989,0.77326,0.45286,1.05743,1.23485,1.11846,0.000815947,0.000815947,0.000815947
126,20155.9,1.26364,1.02486,1.4275,0.75295,0.70984,0.77358,0.45282,1.05828,1.2279,1.11842,0.000763174,0.000763174,0.000763174
127,20315,1.25749,1.01874,1.42197,0.75404,0.7094,0.77382,0.45339,1.05836,1.22117,1.11829,0.000712282,0.000712282,0.000712282
128,20474,1.25611,1.01619,1.41966,0.75458,0.70933,0.77419,0.45352,1.05863,1.21637,1.1184,0.000663292,0.000663292,0.000663292
129,20633.1,1.25799,1.01389,1.42428,0.75476,0.70933,0.7747,0.45406,1.05827,1.21161,1.11801,0.000616227,0.000616227,0.000616227
130,20792.1,1.24736,1.00369,1.4142,0.75654,0.70955,0.7749,0.45413,1.05882,1.20455,1.11834,0.000571106,0.000571106,0.000571106
131,20951.4,1.2445,1.00322,1.41339,0.75719,0.70859,0.77452,0.45431,1.05907,1.19629,1.11839,0.00052795,0.00052795,0.00052795
132,21110.5,1.24859,1.00202,1.41435,0.7578,0.70894,0.77492,0.45462,1.0594,1.19023,1.11852,0.000486777,0.000486777,0.000486777
133,21269.9,1.24885,1.00137,1.41765,0.7568,0.70976,0.77477,0.45417,1.05964,1.18323,1.1185,0.000447606,0.000447606,0.000447606
134,21428.7,1.24646,1.00069,1.41342,0.75675,0.70911,0.77477,0.45428,1.05971,1.17743,1.11855,0.000410454,0.000410454,0.000410454
135,21588.2,1.24283,0.99192,1.40903,0.7603,0.70641,0.77516,0.45461,1.06001,1.17092,1.11854,0.000375337,0.000375337,0.000375337
136,21746.6,1.17112,0.81177,1.34469,0.75593,0.71108,0.77506,0.4546,1.06013,1.16597,1.11882,0.00034227,0.00034227,0.00034227
137,21904.5,1.16082,0.79288,1.34355,0.75658,0.71026,0.77524,0.45432,1.06071,1.16008,1.11912,0.000311268,0.000311268,0.000311268
138,22061.9,1.16212,0.78841,1.33879,0.75805,0.70925,0.77531,0.45469,1.0611,1.15548,1.1191,0.000282345,0.000282345,0.000282345
139,22219.5,1.16214,0.78969,1.33835,0.75615,0.71107,0.77551,0.45433,1.06175,1.14804,1.119,0.000255513,0.000255513,0.000255513
